adaptation_fraction,repeat,adaptation_n,evaluation_n,method,score_threshold,platt_slope,platt_intercept,brier,log_loss,accuracy,balanced_accuracy,macro_f1,fake_recall,real_recall,predicted_real_rate
0.05,156,1029,19558,adaptation_platt_probability_0.5,,0.0391825336181298,1.210883106443298,0.17788078677504868,0.5410292670477859,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,157,1029,19558,locked_zero_threshold,0.0,,,,,0.43532058492688414,0.5153676722535303,0.42594091121286415,0.6643835616438356,0.3663517828632251,0.35923918601083954
0.05,157,1029,19558,adaptation_balanced_accuracy_threshold,-0.5265710341498312,,,,,0.5971469475406483,0.5015845706799129,0.4963646789542162,0.32368537339814407,0.6794837679616818,0.6787503834747929
0.05,157,1029,19558,adaptation_platt_probability_0.5,,0.11558296977441797,1.2324529109691968,0.17807676109603338,0.5415383278528602,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
0.05,158,1029,19558,locked_zero_threshold,0.0,,,,,0.4357807546783925,0.5156670336159572,0.4263399934766409,0.6643835616438356,0.3669505055880788,0.3596993557623479
0.05,158,1029,19558,adaptation_balanced_accuracy_threshold,0.23906304311273313,,,,,0.36537478269761736,0.5119444404595576,0.36537185605949696,0.7847989394608926,0.23908994145822246,0.23356171387667451
0.05,158,1029,19558,adaptation_platt_probability_0.5,,0.18642218264802707,1.2563532131377952,0.17844293900748834,0.5424904271376697,0.7685346149913079,0.49996673762639704,0.43456012026944985,0.0,0.9999334752527941,0.9999488700276102
0.05,159,1029,19558,locked_zero_threshold,0.0,,,,,0.4357296247060027,0.5164058757431782,0.4264479856013902,0.6665930181175431,0.3662187333688132,0.3586256263421618
0.05,159,1029,19558,adaptation_balanced_accuracy_threshold,-0.6304503355353677,,,,,0.622916453625115,0.4970387227530745,0.4963279898344191,0.26270437472381797,0.731373070782331,0.7327436343184375
0.05,159,1029,19558,adaptation_platt_probability_0.5,,0.03283627086168469,1.2104728649873204,0.17787418429214114,0.5410120731941381,0.7685857449636977,0.5,0.4345764671870483,0.0,1.0,1.0
