stage,held_out_fold,model,model_name,ngram_max,min_df,model_parameter,mean_inner_macro_f1,sd_inner_macro_f1,validation_folds,fold_score_1,fold_score_2,fold_score_3,fold_score_4,fold_score_5
nested_inner,3.0,lr,Logistic Regression,2,5,0.1,0.9049497153293793,0.002277938141595755,"1,2,4,5",0.9049423270323675,0.9033760597039774,0.9081734152510132,0.9033070593301586,
nested_inner,3.0,lr,Logistic Regression,2,5,1.0,0.933827903607584,0.0036739651065209405,"1,2,4,5",0.934879902385509,0.9303872944989542,0.9385362404097237,0.9315081771361493,
nested_inner,3.0,lr,Logistic Regression,2,5,10.0,0.9387348527220802,0.002222576920147202,"1,2,4,5",0.9418949821506886,0.9367782152878288,0.9385076063597497,0.9377586070900541,
nested_inner,3.0,svm,Linear SVM,1,2,0.1,0.9327988386303758,0.002032984272202667,"1,2,4,5",0.9332684748367637,0.9311099822535542,0.9354800461925648,0.9313368512386211,
nested_inner,3.0,svm,Linear SVM,1,2,1.0,0.9364619717004604,0.0007783829118833427,"1,2,4,5",0.9372252216152073,0.9365486740326193,0.936695160729064,0.9353788304249511,
nested_inner,3.0,svm,Linear SVM,1,2,10.0,0.9197058848863218,0.002043654684766826,"1,2,4,5",0.9184254208276269,0.9216400106261335,0.9175168636645166,0.9212412444270102,
nested_inner,3.0,svm,Linear SVM,1,5,0.1,0.9327754852116944,0.0030463634491314675,"1,2,4,5",0.9332720244054422,0.9296887976009042,0.9367827877295515,0.93135833111088,
nested_inner,3.0,svm,Linear SVM,1,5,1.0,0.9343493728370037,0.0006665457270624626,"1,2,4,5",0.9350007049108509,0.9340571072350146,0.9335539124135511,0.9347857667885981,
nested_inner,3.0,svm,Linear SVM,1,5,10.0,0.9181253916676121,0.0014567999831234745,"1,2,4,5",0.9176163904791694,0.916697093645924,0.9180473519660766,0.9201407305792783,
nested_inner,3.0,svm,Linear SVM,2,2,0.1,0.9350761782495538,0.002395293141012052,"1,2,4,5",0.9362805041234864,0.9332538028863913,0.9378600608015675,0.9329103451867702,
nested_inner,3.0,svm,Linear SVM,2,2,1.0,0.93908215477348,0.0013478843561230596,"1,2,4,5",0.9394295145962839,0.9391464283179058,0.9404951132074961,0.9372575629722337,
nested_inner,3.0,svm,Linear SVM,2,2,10.0,0.9320813220333655,0.0018783548480278392,"1,2,4,5",0.9311755145419691,0.9333549592036219,0.9339066810199825,0.9298881333678884,
nested_inner,3.0,svm,Linear SVM,2,5,0.1,0.9354676004481457,0.003022399551486634,"1,2,4,5",0.9366772390484549,0.9327070030678115,0.9391686427872454,0.9333175168890706,
nested_inner,3.0,svm,Linear SVM,2,5,1.0,0.9377249251279752,0.0011373967223062029,"1,2,4,5",0.9394182395250237,0.9373137549803096,0.9371903716308646,0.9369773343757033,
nested_inner,3.0,svm,Linear SVM,2,5,10.0,0.921422822941639,0.0019431375517743072,"1,2,4,5",0.9187752416853204,0.9221446544350703,0.9214002113069402,0.9233711843392252,
nested_inner,3.0,rf,Random Forest,1,2,,0.9186551245843819,0.0018727617559250065,"1,2,4,5",0.919346839860971,0.920276860333182,0.919037422316659,0.9159593758267157,
nested_inner,3.0,rf,Random Forest,1,2,50.0,0.8861109092719711,0.0022478294313602863,"1,2,4,5",0.8852086622994538,0.8859411670683439,0.8892680456957205,0.8840257620243661,
nested_inner,3.0,rf,Random Forest,1,2,100.0,0.9033946956084264,0.003886262943527731,"1,2,4,5",0.9024341984345958,0.905778028733115,0.9070245940418193,0.8983419612241759,
nested_inner,3.0,rf,Random Forest,1,5,,0.916015709380763,0.003146804766277001,"1,2,4,5",0.9164607220171576,0.918143353834862,0.9180212610952578,0.9114375005757751,
nested_inner,3.0,rf,Random Forest,1,5,50.0,0.8837735892374853,0.0026821715457660644,"1,2,4,5",0.886706219152315,0.8830910603875709,0.8848828720903199,0.880414205319735,
nested_inner,3.0,rf,Random Forest,1,5,100.0,0.8990444181622579,0.004507025469196568,"1,2,4,5",0.8998794754789143,0.9020771259556124,0.9017777293564379,0.8924433418580666,
nested_inner,3.0,rf,Random Forest,2,2,,0.917754004643045,0.0025528732221278528,"1,2,4,5",0.9187870472859825,0.9172304560521896,0.9205059512113951,0.9144925640226129,
nested_inner,3.0,rf,Random Forest,2,2,50.0,0.8775430049379509,0.002730632268580877,"1,2,4,5",0.8782067015518387,0.8760645939151404,0.8810657261361486,0.8748349981486758,
nested_inner,3.0,rf,Random Forest,2,2,100.0,0.8966623425970447,0.00397826743132747,"1,2,4,5",0.8968900711315051,0.8977156911230031,0.9007913875206375,0.8912522206130328,
nested_inner,3.0,rf,Random Forest,2,5,,0.9155756066750264,0.002093387960878448,"1,2,4,5",0.9152915910007547,0.9165130993593451,0.917695676900425,0.9128020594395808,
