stage,held_out_fold,model,model_name,ngram_max,min_df,model_parameter,mean_inner_macro_f1,sd_inner_macro_f1,validation_folds,fold_score_1,fold_score_2,fold_score_3,fold_score_4,fold_score_5
global_group_cv,,svm,Linear SVM,1,2,0.1,0.9377255537992237,0.0037399492806372368,"1,2,3,4,5",0.9358904048457735,0.9325200273360978,0.938388782650524,0.9424485228561152,0.9393800313076084
global_group_cv,,svm,Linear SVM,1,2,1.0,0.9408705480348404,0.002461299493689225,"1,2,3,4,5",0.9412671357200659,0.9376207494676532,0.9393365089690349,0.9421877452125917,0.9439406008048561
global_group_cv,,svm,Linear SVM,1,2,10.0,0.926117641092272,0.002756275566017881,"1,2,3,4,5",0.9291917565996246,0.9227451913959578,0.924679090523288,0.928716228668313,0.9252559382741763
global_group_cv,,svm,Linear SVM,1,5,0.1,0.9375972587604287,0.003617734284002082,"1,2,3,4,5",0.9375894350338783,0.932377325682842,0.9364258849714509,0.9420730862020849,0.9395205619118869
global_group_cv,,svm,Linear SVM,1,5,1.0,0.9390236301527489,0.0036730047734618325,"1,2,3,4,5",0.9394302795159144,0.9351622522340881,0.9354283132129075,0.941803542677986,0.9432937631228482
global_group_cv,,svm,Linear SVM,1,5,10.0,0.9252214933947188,0.0026317079790554544,"1,2,3,4,5",0.924647412453631,0.9211748353000213,0.9262730941803303,0.9283333339217936,0.9256787911178178
global_group_cv,,svm,Linear SVM,2,2,0.1,0.939487267509643,0.0022661234025526575,"1,2,3,4,5",0.9391498682049952,0.9367032049287135,0.9380332827005927,0.9415570570316358,0.9419929246822782
global_group_cv,,svm,Linear SVM,2,2,1.0,0.9456341039268686,0.0024057229084998807,"1,2,3,4,5",0.9461938250539452,0.9423192296596123,0.9445460906051957,0.9488362328397639,0.9462751414758257
global_group_cv,,svm,Linear SVM,2,2,10.0,0.93685808033045,0.0030621892714345986,"1,2,3,4,5",0.9393470257535084,0.9327555964384162,0.935866652207221,0.9404085553899064,0.935912571863198
global_group_cv,,svm,Linear SVM,2,5,0.1,0.9388359483459592,0.0034983806490362095,"1,2,3,4,5",0.9375861779119213,0.9344862221853334,0.9373668661330112,0.941554143660869,0.9431863318386617
global_group_cv,,svm,Linear SVM,2,5,1.0,0.9422000601865422,0.0031279720761737606,"1,2,3,4,5",0.9426535239347543,0.9382950756466149,0.9397257309464725,0.9451957656951955,0.9451302047096737
global_group_cv,,svm,Linear SVM,2,5,10.0,0.9280437840943409,0.0015252895574214389,"1,2,3,4,5",0.9270996674305998,0.926870713971796,0.9278218634956891,0.9306716969191077,0.9277549786545121
